日期,开盘价,最高价,最低价,收盘价,成交量,成交额
20240719,4.44,4.47,4.38,4.43,3928900,17391840
20240722,4.42,4.45,4.37,4.4,3963300,17440955
20240723,4.42,4.42,4.28,4.28,4761500,20686266
20240724,4.28,4.28,4.16,4.18,6441800,27113210
20240725,4.2,4.31,4.11,4.24,5434800,22938476
20240726,4.25,4.39,4.24,4.39,5821900,25344918
20240729,4.42,4.42,4.34,4.42,5404000,23721346
20240730,4.41,4.45,4.34,4.39,3589500,15750141
20240731,4.38,4.57,4.36,4.55,5744600,25728157
20240801,4.55,4.64,4.55,4.59,5817600,26718107
20240802,4.58,4.68,4.53,4.61,7865100,36428912
20240805,4.57,4.62,4.45,4.45,6057400,27498572
20240806,4.45,4.56,4.45,4.51,4457100,20065295
20240807,4.52,4.56,4.48,4.51,4173900,18869467
20240808,4.52,4.52,4.45,4.49,4451900,19971485
20240809,4.52,4.53,4.42,4.42,3296800,14721482
20240812,4.45,4.46,4.36,4.37,4207200,18563601
20240813,4.37,4.42,4.35,4.4,3219800,14108350
20240814,4.4,4.44,4.36,4.36,2740700,12032660
20240815,4.38,4.55,4.33,4.52,6540900,29083115
20240816,4.54,4.61,4.48,4.58,7594300,34536572
20240819,4.49,4.5,4.33,4.34,12354100,54257572
20240820,4.34,4.38,4.24,4.31,6659800,28560479
20240821,4.3,4.35,4.28,4.32,4788000,20704957
20240822,4.32,4.38,4.29,4.31,3871800,16782202
20240823,4.3,4.33,4.23,4.24,3740600,15921096
20240826,4.26,4.34,4.23,4.34,3718800,16012795
20240827,4.33,4.34,4.25,4.28,2996200,12840789
20240828,4.27,4.35,4.25,4.34,2589900,11166311
20240829,4.29,4.43,4.29,4.4,4252500,18608052
20240830,4.4,4.45,4.35,4.37,5993600,26468310
20240902,4.35,4.42,4.33,4.34,5585200,24484763
20240903,4.35,4.41,4.33,4.39,3841900,16824209
20240904,4.36,4.41,4.33,4.34,4073200,17789988
20240905,4.35,4.37,4.29,4.32,3171700,13710041
20240906,4.34,4.34,4.22,4.24,3659400,15571758
20240909,4.2,4.26,4.16,4.17,3656500,15343684
