日期,开盘价,最高价,最低价,收盘价,成交量,成交额
20230418,275,297,245,252,5903177,1526203939
20230419,246.9,269.3,246.9,258.88,4018596,1034007969
20230420,254.01,284,253.01,283.65,3192280,855873882
20230421,279.68,301.79,271.68,281.96,2505727,718366113
20230424,283.03,291.42,267.86,286.8,1348668,375986542
20230425,283.1,288.08,269,281.91,1242416,347712039
20230426,279.09,279.09,260.99,260.99,795275,215122331
20230427,261,261,242,242,1499184,372538289
20230428,238.4,252.88,236,239,1328371,324390180
20230504,239,239.7,226.26,236.2,866049,202271590
20230505,232.21,235,213.27,221,1253641,278260809
20230508,220.76,232.01,220.66,232,770229,173847113
20230509,230.38,230.38,213.98,215.04,790881,171963170
20230510,212,217.99,200.51,204.26,910609,188804566
20230511,208.98,212.94,196,199.35,630603,127683708
20230512,196.42,200,190.5,192.6,738772,143277271
20230515,192.01,203.33,192.01,198,861079,171547787
20230516,197.88,197.88,188.6,195.7,622887,120062480
20230517,195,205.98,194.22,199.63,763783,154343150
20230518,199.98,201.97,195.15,200.56,495105,98211320
20230519,200.56,216.81,200.56,212.67,907636,191785944
20230522,216,216,207.68,211.98,426551,90035915
20230523,211.88,211.88,200.22,200.66,467674,95835934
20230524,203.44,205.88,200,200.89,403841,81641963
20230525,199.37,202.32,193.36,201.97,483730,95716088
20230526,196.06,206.77,196.06,204.95,332949,67510488
20230529,210.1,218.99,204.44,217.36,621025,132304863
20230530,215.76,239.95,212.46,224.28,953657,218206565
20230531,224.28,230.1,220.23,226.32,476401,107393610
20230601,226.47,233.88,220.41,221.48,629948,141273645
20230602,218.56,223.89,216.1,217.5,566651,124192968
20230605,217.5,226.22,212.89,214.1,473571,102699446
20230606,212.87,212.99,203.03,205,736624,153554348
20230607,205.05,211.95,202.01,204.03,538830,111129644
20230608,201.47,206.55,199.99,200.95,384185,77555234
20230609,200.55,203.92,196.83,202,380711,76236523
20230612,200.88,204.82,198.26,199,454789,91072556
20230613,199,205.42,196.32,204.61,390914,78700953
20230614,205,206,198.35,201,393329,78957460
20230615,206,219.88,204.51,205.8,856836,181350090
20230616,208.11,218.98,203.66,214.9,702974,148808341
20230619,214.56,228.8,212.99,223.42,888268,197747800
20230620,152,152.99,142.21,148.42,1292399,189447387
20230621,146.99,150,141,142.3,928823,133749387
20230626,141.09,142.95,129.79,134,1090362,146923190
20230627,132.22,133.97,130.25,133.4,383315,50755125
20230628,132.1,132.8,124.37,130.06,917849,117746954
20230629,129.08,131.49,128.22,129.4,387032,50429722
20230630,128.5,133.1,127.32,130.63,676442,88347632
20230703,130.01,134.87,125.15,130.88,896247,115785675
20230704,130.02,134.62,128.3,133.2,445789,59313616
20230705,132,134.8,130.2,133.19,584458,77480204
20230706,131.6,134.55,128.88,129.8,676733,88696537
20230707,128.5,129.51,125.8,128.55,377033,48073770
20230710,129.49,129.49,126.31,127.05,411183,52367723
20230711,127.86,127.86,125.11,127.03,362425,45808246
20230712,127,127.62,123.77,123.98,483302,60588842
20230713,125,125.66,123.68,124.88,331604,41322157
20230714,125.1,128.32,124.4,125.9,445364,56363795
20230717,126.28,132.47,125.54,129.86,593736,76877783
20230718,129,131.58,127.05,127.63,313439,40366121
20230719,128.18,131.9,126.55,130,546936,71026522
20230720,130,134.43,128.94,129.28,695085,91616868
20230721,129,130,124.23,126.48,595725,75438883
20230724,125.96,128.4,120.29,121,543700,67407290
20230725,121.23,123.39,119.57,122.3,728274,88485956
20230726,122.18,122.18,119.37,120.39,391932,47259411
20230727,120,120.52,118.76,118.83,354500,42354901
20230728,118.8,121.71,114.38,120.62,597527,70583083
20230731,119.79,123.04,119.02,122.7,403497,49125085
20230801,125.03,128.82,121,128,768983,96687702
20230802,126.2,129,126,128.21,281975,35952145
20230803,127,129.77,126.25,128.77,270663,34825714
20230804,128.11,129.7,127.96,129.11,303498,39066896
20230807,128.94,129.43,125.14,126.35,329005,41644718
20230808,126.3,130.88,126,126.78,321565,41064837
20230809,126.1,127.6,122.98,124.19,379334,47270421
20230810,124.02,124.18,120.21,122.27,329525,40112677
20230811,122.88,122.88,117.52,117.76,371954,44397878
20230814,117.17,117.6,113.3,115.42,460488,52928493
20230815,116.5,120.01,112.12,118.2,602297,69778628
20230816,117,117,111.88,112.6,421224,47967128
20230817,112.38,115.65,110.6,114.64,242414,27493277
20230818,114,118.88,114,114.55,389589,45385791
20230821,113.6,117.46,112.68,114.45,333014,38361837
20230822,114.8,119,112.15,116.65,358175,41400948
20230823,116,116.66,113.6,114.23,206848,23886680
20230824,116.54,116.54,111.12,111.13,222596,25244915
20230825,110.6,110.89,105.08,105.2,401160,43231413
20230828,116.41,121.52,111.22,111.33,1514085,176424909
20230829,112.3,121.8,109.27,120.95,785152,91856472
20230830,124.23,132.59,123,132.4,1713988,221769710
20230831,131.17,133.9,130,131.25,643356,84722692
20230901,130,132.47,123.88,125.88,1137790,144854540
20230904,125.5,125.87,122.35,124.93,664996,82637385
20230905,126.42,126.59,121.8,124.03,399260,49556547
20230906,123.5,126.86,121.33,126.21,520147,64662585
20230907,125.81,127.8,122.79,122.8,438934,54782499
20230908,121.03,128.57,121.03,127.39,615507,77452191
20230911,128,128.7,125.8,128.4,466503,59450283
20230912,127.13,130.93,126.06,129.49,585007,75256796
20230913,129.98,129.98,124.05,128.24,451525,57145585
20230914,127.93,129.08,125,126.24,281204,35617314
20230915,126.5,127,123.99,125.73,224942,28199852
20230918,123.44,125.68,121.64,122.66,356232,43952697
20230919,122.35,122.35,119.36,120.76,230461,27738920
20230920,120.76,120.76,116.47,118.97,200316,23806312
20230921,117.71,118.89,115.56,115.84,210616,24616609
20230922,115.78,121.29,114.72,120.99,267172,31609455
20230925,121.4,126.96,121,122.68,330396,40562742
20230926,122.83,132.3,121.5,129.98,807533,104302022
20230927,128.4,131.02,128.4,129.3,427490,55364026
20230928,128.74,130.58,127.93,129.51,201363,26045309
20231009,129.9,130.5,125.39,126.02,187077,23802612
20231010,126,127.75,125.58,127.3,200258,25417877
20231011,127,127.87,124.33,125.25,224728,28279913
20231012,125.28,125.28,121.22,122.65,216314,26482192
20231013,121.37,121.51,118.01,119.84,219838,26277850
20231016,121.5,121.85,113.89,114,265755,30761664
20231017,115.1,115.1,109.23,110.62,419806,46698061
20231018,109.52,112.85,106.66,109.18,963154,105223476
20231019,107.58,112.01,107.01,108.33,343862,37664942
20231020,107.46,108.92,105.75,106.24,333529,35588013
20231023,106.25,107.97,101.32,101.73,471743,48547863
20231024,101.73,106.98,100.81,104.39,378281,39397029
20231025,104,108.29,104,106.6,313505,33344130
20231026,107.69,107.69,104.6,106.9,165368,17515196
20231027,106.79,111.1,104.68,110.78,369896,40132918
20231030,110.78,116.38,108.12,115.52,455292,51484315
20231031,114.23,115.08,110.17,110.79,468249,52184375
20231101,111.11,111.11,106,107.27,559889,60267218
20231102,107.42,108.47,104.95,105.68,229014,24375951
20231103,106.49,111.2,105.68,110.79,349926,38139795
20231106,110.94,118.29,110.94,114.58,534266,61288480
20231107,114.5,115.49,111.7,113.36,326477,36923148
20231108,112,117.68,112,114.51,372324,42815268
20231109,114.51,115.42,113.05,114.53,245631,28133087
20231110,114.63,115,112.8,114.18,198654,22622944
20231113,113.51,117.38,113.51,116.68,261110,30317223
20231114,115.99,121.5,115.99,121.28,509093,60851526
20231115,123,123,118.05,121.06,402038,48252876
20231116,121.9,121.9,117.65,119.31,274314,32706660
20231117,119.33,120.37,117.36,119.36,259452,30764020
20231120,120.01,127.5,118.23,127.5,715446,89350490
20231121,127.43,128,123.23,125,449785,56390065
20231122,126.06,126.99,121.52,122.45,326107,40280383
20231123,121.58,126,120.58,125.2,332041,40931435
20231124,125.15,125.15,119.03,119.8,453491,54733656
20231127,120.09,121.32,119.21,119.6,115922,13917516
20231128,119.35,121.61,117.42,120.6,227849,27326220
20231129,119.64,121.22,118.94,119.82,176938,21303692
20231130,119.69,122.34,117.14,121.67,316670,37790143
20231201,121.18,124.72,119.55,123.43,225418,27505666
20231204,123,127.97,121.84,124.38,365508,45800159
20231205,123.12,126.28,122.88,123.56,224929,28070560
20231206,124.58,124.8,119.3,122.48,275787,33827041
20231207,123.7,133.9,123.46,131.39,1162840,152138312
20231208,130.89,134.8,129.9,130.7,594940,78666176
20231211,130.3,137.97,127.9,135.98,863873,115603170
20231212,137.1,139.44,131.18,133.27,696449,93022837
20231213,133.97,144.9,129.3,136.5,1073309,147835170
20231214,136,136.5,130.01,130.4,671443,88436733
20231215,132.36,135.99,127.16,134.83,530233,70947538
20231218,133,134.8,131.13,131.75,187700,24830918
20231219,133.33,136.5,129.51,132.4,397898,52993467
20231220,131.39,133,130.21,130.61,110999,14602708
20231221,132.99,133.5,129.59,132.18,340529,44683136
20231222,132.19,132.25,129.6,131.09,207268,27114271
20231225,134.96,139,132.55,133.3,326386,44261006
20231226,132.53,134.6,130.3,131.68,206295,27139685
20231227,132.99,133,130.39,131.76,150218,19739602
20231228,130.58,135,130,134.8,340705,45361894
20231229,134.8,137.75,130.3,136.75,574775,76873265
20240102,136,136.6,131.88,132,246923,32845901
20240103,130.81,132.84,129.03,129.98,256640,33489275
20240104,130.15,130.15,126.1,127.7,301563,38495646
20240105,127.67,128.63,123.18,125.27,296277,37173170
20240108,124.39,124.88,120.85,121.8,152769,18689819
20240109,122.86,122.86,118.18,121.65,237035,28633791
20240110,118.22,119.66,115.18,118.88,406269,47705404
20240111,119.19,120.83,117.6,118.84,149730,17880874
20240112,118.79,120.26,117.5,118.42,109168,12987273
20240115,117.69,119.27,115.09,115.3,201479,23482561
20240116,115.23,115.57,112.25,114.82,105771,12061457
20240117,113.86,117,113,114.58,189628,21849271
20240118,112.67,117.39,110.01,115.49,220123,24750923
20240119,115.55,115.56,108.54,108.54,265585,29503548
20240122,106.72,108.88,101.68,101.9,316372,33228744
20240123,99.88,104.49,99.39,103.03,286453,29062962
20240124,103.8,104.59,101.05,104.5,134367,13842099
20240125,103.09,108.08,101.84,104.68,274603,28835043
20240126,105.67,106.67,103.88,104.71,142054,14963848
20240129,105.8,106.55,100.48,102.32,174019,17851024
20240130,101,104.44,100.15,102.6,232540,23892997
20240131,100,101.7,96.11,98,253635,25008287
20240201,98.45,98.45,93.01,93.01,212236,20242687
20240202,94.38,94.38,84.06,86.64,208585,18472711
20240205,86.46,86.46,72.2,83.02,320160,25589112
20240206,82.88,87.92,78.08,85.4,322109,26959076
20240207,85.43,87.77,78.67,85.99,574049,47891238
20240208,84.28,92.99,84.25,91.89,297518,26689807
20240219,91.89,94.85,89.63,92.37,295384,27032462
20240220,90.54,91,85.62,89.63,367587,32395054
20240221,91.5,106.17,91.5,96.43,975413,94165618
20240222,93.78,97.43,93.7,95.4,614698,58970387
20240223,96.26,103.49,95.41,101,679387,67762589
20240226,109.98,109.99,101.12,105.76,838762,89583790
20240227,106,117.58,104.2,112.1,1032961,116446096
20240228,112.55,114.28,101.83,101.83,1149151,122384330
20240229,99.91,106.66,99.21,105.87,583856,60886058
20240301,106,108.9,103.18,106.93,496449,52682989
20240304,107,112.9,102.55,112.44,748639,80290804
20240305,109.99,110.99,106.47,106.9,485182,52363669
20240306,105.55,107.9,103.04,106.43,313988,33290691
20240307,106.55,108.99,101.6,101.7,440052,46022073
20240308,101.02,102.55,98.69,101.88,602381,60603941
20240311,101.8,102.87,100.35,101.95,301677,30691060
20240312,102,103.82,100.23,102.99,530075,54235723
20240313,102.99,104.86,102.36,103.35,435771,45099471
20240314,104,105,97.2,100.01,523941,52724157
20240315,98.01,101.9,98.01,101.82,382363,38360018
20240318,103,110.55,101.18,110.1,1427142,153316809
20240319,109.3,112.38,106,106.4,754322,81714066
20240320,106,113.62,105.8,112.2,1210926,134767052
20240321,112.92,121.38,112.92,117.21,1559752,183981410
20240322,116.86,118.76,113.89,115.19,801022,92729393
20240325,117.01,117.72,108.18,108.68,585196,65288616
20240326,108.31,109,102.76,103.95,600240,63308060
20240327,103.66,103.66,95,95.15,809167,79227962
20240328,94.15,99,94.15,96.95,757347,73287749
20240329,96.35,96.39,92.4,95.76,486926,46030364
20240401,95.76,99.8,95.6,98.3,551008,54135734
20240402,97.19,98.18,93.57,93.95,414037,39315169
20240403,93.98,94.83,87.5,89,870892,77914002
20240408,89.9,89.9,85.4,86.86,367993,32036978
20240409,86.86,88.34,86.28,87.89,257157,22542125
20240410,87.31,88.08,83.5,84.7,340967,29032020
20240411,83.6,87.2,82.3,83.55,383682,32702340
20240412,83.67,84.2,80.82,80.82,428042,35086993
20240415,79.99,81.49,75.4,77.98,605170,47084510
20240416,78.65,78.81,73.01,73.07,472063,35229635
20240417,73.35,77.3,73.3,76.35,456547,34697504
20240418,77,83.8,76.35,80.59,787542,63749021
20240419,80.79,81.6,77.73,79.46,433582,34455540
20240422,79.46,82.93,78.31,80.81,299010,24184946
20240423,80.83,83.22,80,82.53,397880,32665137
20240424,82.27,84.47,81.79,83.72,397274,33177003
20240425,83.44,84.28,82.19,83.15,380343,31618483
20240426,82.19,84.74,81.79,83.66,537945,44904478
20240429,84.73,88.44,84.73,88.02,635974,55429067
20240430,87.3,88.02,85,85.01,617848,53111512
20240506,86,86.72,84.98,85.17,865645,74086390
20240507,84.93,87.47,84.11,87.09,953521,82019461
20240508,87.53,87.82,85.79,85.79,476868,41441022
20240509,85.65,95.66,84.96,93,1762083,162042563
20240510,93,93.93,88.66,91.17,968562,87998767
20240513,89.09,93.22,88.01,89.9,471262,42912294
20240514,89.9,94.76,89.9,92.8,670779,62738914
20240515,92.77,92.77,88,88,646783,58024183
20240516,88.82,90.14,87.06,87.9,319930,28392225
20240517,87.9,91.95,87.2,90.88,505736,45760958
20240520,90.18,92.98,88.31,89.09,487584,44155694
20240521,89.5,89.76,86.9,86.9,393361,34500937
20240522,87.59,87.63,84.08,86,808247,68877976
20240523,85.89,86.21,83.35,83.43,412110,34753592
20240524,84.3,84.98,81,81.8,497094,41164249
20240527,81.8,81.8,78.16,80.69,821890,65821313
20240528,80.71,82.48,78.4,78.7,577194,46145308
20240529,78.92,81.8,78.71,78.73,570163,45827420
20240530,78.78,81.69,77.18,80.57,471454,37648422
20240531,80.57,82.66,80.5,81.56,397502,32558217
20240603,81.95,85.99,81.6,83.08,832121,69983325
20240604,82.15,82.98,79.63,80.95,591683,47844039
20240605,81.09,81.99,79,79.31,254386,20530294
20240606,79.12,80.66,76.05,76.33,453753,35174371
20240607,77.66,78.29,76.08,77.55,246834,19053324
20240611,77.12,80.37,75.23,79.87,342003,26756614
20240612,80.19,82.17,80,80.15,405470,32812413
20240613,80.49,84.86,79.63,83.23,613167,50727014
20240614,82.39,83.9,80.33,80.73,594670,48432010
20240617,80.3,80.88,78.58,78.75,594186,47281127
20240618,79,80,77.28,78,1000122,78448643
