日期,开盘价,最高价,最低价,收盘价,成交量,成交额
20240719,8.38,8.57,8.31,8.51,2291000,19402472
20240722,8.5,8.6,8.46,8.5,1523000,12988022
20240723,8.51,8.57,8.32,8.33,1525400,12882090
20240724,8.33,8.34,8.14,8.2,1902300,15644095
20240725,8.2,8.35,8.1,8.26,2040200,16790353
20240726,8.36,8.69,8.27,8.66,3713200,31739966
20240729,8.67,8.8,8.61,8.72,2986500,26034434
20240730,8.72,8.85,8.57,8.78,2446500,21352508
20240731,8.82,9.11,8.78,9.11,3690300,33123720
20240801,9.07,9.22,9.05,9.1,3026600,27621928
20240802,9.07,9.2,8.93,8.99,2793300,25399117
20240805,9.02,9.14,8.71,8.75,2766300,24724160
20240806,8.78,9,8.77,8.96,2554300,22692125
20240807,8.98,9.1,8.9,8.99,1951600,17601671
20240808,9.01,9.01,8.75,8.9,2196300,19473500
20240809,8.87,9.01,8.69,8.72,1973300,17355015
20240812,8.68,8.73,8.53,8.6,2075400,17867568
20240813,8.59,8.69,8.52,8.67,1821100,15689780
20240814,8.68,8.69,8.45,8.55,1845400,15861600
20240815,8.56,8.72,8.48,8.56,2018500,17386542
20240816,8.57,8.6,8.39,8.42,1977100,16769933
20240819,8.44,8.58,8.34,8.49,1699500,14408499
20240820,8.5,8.5,8.26,8.33,1890400,15763346
20240821,8.33,8.38,8.25,8.29,1487900,12348437
20240822,8.36,8.36,8.18,8.2,1605900,13240147
20240823,8.3,8.3,7.97,8.04,3122200,25263895
20240826,8.04,8.26,7.99,8.21,3909200,31888303
20240827,8.18,8.24,8.03,8.15,3526300,28617775
20240828,8.01,8.04,7.75,7.97,6636400,52490647
20240829,7.87,8.27,7.87,8.25,4338000,35439549
20240830,8.26,8.44,8.12,8.29,3405800,28358932
20240902,8.25,8.35,7.92,7.92,4598900,37048379
20240903,7.9,8.18,7.9,8.14,2765800,22400160
20240904,8.1,8.75,8.01,8.26,9451500,78446331
20240905,8.24,8.37,8.13,8.2,7443300,61066777
20240906,8.22,8.49,8.2,8.2,6466300,53853559
20240909,8.28,8.96,8.28,8.6,13208500,114173306
20240910,8.68,9.05,8.31,8.47,12691000,109209996
20240911,8.38,8.53,8.2,8.36,7224800,60320812
20240912,8.32,9.2,8.32,9.2,8573500,77289715
20240913,9,9.13,8.78,8.89,18134600,161241846
20240918,8.79,8.95,8.62,8.82,10911000,95627389
20240919,8.79,9.16,8.63,9.02,14290100,127788812
20240920,9,9.39,8.95,9.06,12653500,115270882
20240923,9.06,9.35,8.92,9.27,11273500,103391500
20240924,9.24,9.38,9,9.26,12992300,119632080
20240925,9.3,9.47,9.22,9.26,10775200,100675192
20240926,9.19,9.36,9.1,9.34,9184900,84935567
20240927,9.51,9.81,9.39,9.64,10339600,99020778
20240930,10.09,10.58,9.85,10.57,14892400,152986046
20241008,11.61,11.63,10.6,11.15,17225200,191465062
20241009,10.82,10.95,10.27,10.33,12229100,130048933
20241010,10.53,10.7,10.11,10.39,9212500,96500041
20241011,10.33,10.38,9.62,9.79,7373000,73147061
20241014,9.89,10.41,9.83,10.34,9682800,98395331
20241015,10.25,10.62,10.05,10.32,9915000,102622823
20241016,10.11,10.4,10.11,10.26,5779200,59054002
20241017,10.35,10.48,10.08,10.09,5602900,57370777
20241018,10.13,10.65,10.04,10.42,8331000,86039473
20241021,10.45,10.66,10.39,10.51,7219400,76134868
20241022,10.59,10.68,10.42,10.54,5812800,61310245
20241023,10.54,10.93,10.52,10.78,7859200,84667084
20241024,10.79,10.82,10.6,10.62,5386400,57493964
20241025,10.74,10.98,10.67,10.94,5910300,64294614
20241028,11.18,11.38,10.99,11.35,9902800,111351143
20241029,11.27,11.6,11.15,11.18,9116800,103006466
20241030,11.2,11.36,11.07,11.29,6131200,68761094
20241031,11.38,11.45,11.15,11.37,7339600,83153489
20241101,11.27,11.43,10.78,10.79,8743400,96555070
20241104,10.76,11.12,10.72,11.1,5552900,61270792
20241105,11.08,12.21,11,12.07,22198000,263402046
20241106,12.13,12.27,11.76,12.03,13977600,167456935
20241107,11.86,11.9,11.6,11.83,8682300,102238697
20241108,11.94,12.69,11.74,12.41,17111400,208463377
20241111,12.44,12.51,11.97,12.35,13152400,159800908
20241112,12.24,12.55,12.06,12.14,10584000,129587498
20241113,12.3,12.88,11.87,12.63,19121700,237836144
20241114,12.3,12.79,12,12.02,12973500,159560174
20241115,11.9,12.13,11.57,11.6,8646300,102192399
20241118,11.55,12.04,11.31,11.7,9130100,107045309
20241119,11.71,12.01,11.55,11.92,5754200,67894710
20241120,11.86,12.11,11.79,11.93,5440300,64766619
20241121,11.85,12.02,11.69,11.85,4999800,59399610
20241122,11.85,11.93,11.2,11.28,9582400,110837636
20241125,11.34,11.35,10.99,11.25,8138100,90650141
20241126,11.25,11.35,10.9,10.99,5905000,65665679
20241127,10.91,10.98,10.56,10.96,8922100,95902033
20241128,10.92,11.24,10.91,10.95,6166900,68293499
20241129,10.9,11.58,10.9,11.39,9650300,109297795
20241202,11.43,12.53,11.43,12.53,11896500,146309374
20241203,13.78,13.78,13.78,13.78,8492500,117026126
20241204,15.16,15.16,14.51,15.16,59724100,903745692
20241205,16,16.68,15.8,16.68,15601800,254790820
20241206,18.35,18.35,17.52,18.35,88688300,1613953665
20241209,18,20.19,16.73,19.29,114240700,2173931028
20241210,19.38,21.22,19.38,21.22,54654600,1135493775
20241211,22.3,23.34,20.22,23.34,88868400,2003859733
20241212,25.67,25.67,24.97,25.67,42864600,1099298587
20241213,27.4,28.24,27.4,28.24,71424600,2009316642
20241216,29,31.06,25.42,25.42,117115500,3428707201
20241217,22.88,22.88,22.88,22.88,2686200,61460256
20241218,20.59,21.79,20.59,21.07,134542400,2793817058
20241219,20.58,22.22,20.18,20.55,98006400,2081708738
20241220,20.4,21.15,19.4,20.77,86680700,1762334775
20241223,20.79,20.94,18.69,18.69,59983700,1190902438
20241224,19.56,20.14,18.74,19.78,80359700,1574170643
20241225,19.84,21.76,19.31,21.38,109941200,2301927413
20241226,20.7,23.52,20.57,22.31,112756400,2533475053
20241227,23.8,24.54,20.68,23.5,138907900,3231500051
20241230,22.12,22.96,21.15,21.15,80511400,1755805980
20241231,20.75,23.27,19.68,23.27,105479600,2338935290
20250102,25,25.6,25,25.6,92830400,2365345559
20250103,26,27.37,23.91,26.3,132391300,3440349000
20250106,26,28.93,25.03,27.7,127976200,3588334329
20250107,27.7,29.58,25.5,29,120804600,3339018415
20250108,28.16,30.46,26.66,30,109461400,3119807573
20250109,28.8,30.35,27.2,28.3,101923000,2956732743
20250110,29,31.13,28.35,31.13,99116800,3055077055
20250113,31.17,31.98,28.02,28.02,89742500,2729148610
20250114,25.22,30.82,25.22,30.82,124718300,3494603000
20250115,31.7,33.9,31.59,33.9,84553900,2796317948
20250116,34.65,35.09,30.51,30.51,125888000,4063747907
20250117,30.51,31.5,27.49,28.95,107721900,3175338151
20250120,28.3,31.44,28.12,30.5,99406000,3011139318
20250121,30,33.55,28.33,32.95,138027100,4321661393
20250122,32.05,32.85,31.06,31.51,91886600,2919026414
20250123,31.7,31.84,28.95,29.07,95307100,2894505114
20250124,28.6,31.46,28.35,30.71,93609300,2831779382
20250127,30.68,33.25,29.66,29.8,82547600,2565934438
20250205,29.54,30.2,27.38,27.43,89345200,2535014612
20250206,26.82,28.85,26.82,28.58,75793100,2141496073
20250207,28.28,29.3,27.81,28.58,75671700,2163605695
20250210,29.18,30.94,28.3,30.77,107220500,3191184259
20250211,30.77,30.78,28.5,28.93,85647500,2509236251
20250212,28.2,29.4,27.6,28.78,57101700,1623375598
20250213,28.28,28.78,27,27.02,61793200,1710079969
20250214,26.12,26.55,25.04,25.3,57829600,1482806309
20250217,25.1,25.98,25.06,25.97,43581500,1116632345
20250218,25.83,26.9,25.54,26.17,48559500,1278572077
20250219,25.79,27.15,25.35,26.76,50004600,1331811043
20250220,26.8,28.5,25.9,27.59,74803700,2051071446
20250221,26.8,27,26.14,26.58,55062300,1456038156
20250224,26.17,27.77,25.63,26.82,50839300,1366030785
20250225,26.68,27.35,26.26,26.4,41154500,1101731414
20250226,26.7,28.7,26.31,27.7,87299000,2429030357
20250227,26.97,26.97,25.3,25.8,66953700,1753148941
20250228,25.36,25.36,23.74,23.8,38711200,944937689
20250303,23.62,23.98,22.97,23.22,26761000,627933440
20250304,22.99,25.54,22.81,25.54,54241600,1349850927
20250305,25.71,26.11,24.67,25.06,58634700,1481884341
20250306,25.16,25.46,24.9,25.18,33896400,853662762
20250307,24.9,25.89,24.72,25.04,36526300,921652958
20250310,25.1,25.27,24.7,24.96,20298800,507180773
20250311,24.47,25.03,24.32,24.8,20844500,514584947
20250312,24.74,25.29,24.64,24.67,20952700,521209442
20250313,24.5,24.58,23.51,23.85,22369000,534745930
20250314,23.85,24.43,23.61,24.22,20494500,494061155
20250317,24.21,24.43,23.96,24.32,16000200,388130651
20250318,24.2,25.16,24.04,24.71,32116000,790954114
20250319,24.4,26.57,24.25,25.41,58692800,1502471717
20250320,24.9,26.1,24.7,25.33,43442700,1104368971
20250321,25.55,26.02,24.24,24.53,33790000,837722940
20250324,24.24,24.4,22.15,22.99,36034300,828609600
20250325,22.79,22.85,22.11,22.12,18093500,405535216
20250326,22.01,22.69,21.96,22.28,14144900,316911516
20250327,22.14,22.48,21.9,21.97,12803400,283175942
20250328,21.8,22.08,21.51,21.61,13355200,289910292
20250331,21.5,21.58,20.61,21.3,16087800,337454783
20250401,21.31,21.6,21.03,21.09,10003500,212603010
20250402,21.15,21.31,20.98,21.13,9495700,201035418
20250403,20.96,21.22,20.6,20.69,9755500,203578131
20250407,19.06,19.59,18.62,18.62,6725100,127028305
20250408,17.3,18.34,17.2,17.89,26515900,467915209
20250409,17.73,19.68,16.41,19.68,30188600,556814805
20250410,20.07,20.88,20.07,20.27,42812300,878987055
20250411,20.05,20.63,20.05,20.38,24778600,505621069
20250414,20.59,21.24,20.59,20.78,22473100,469626981
20250415,20.81,20.98,20.33,20.54,16471000,339319485
20250416,20.43,20.69,19.86,20.13,13526400,273719382
20250417,19.92,20.46,19.92,20.01,10484500,211411585
20250418,19.93,20.12,19.58,19.78,10269600,203060226
20250421,19.71,20.29,19.55,20.27,11716300,234984211
20250422,20.74,20.98,20.35,20.41,23337600,481113200
20250423,20.45,21.38,20.45,20.92,28928900,604202048
20250424,20.73,20.82,20.01,20.11,21547300,438340290
20250425,20.2,20.28,19.9,20.08,12771600,256229969
20250428,19.95,20.18,19.65,19.71,9885800,195705253
20250429,19.75,19.98,19.52,19.87,9005100,178559974
20250430,19.85,21.3,19.82,20.94,27772300,576117457
20250506,20.97,22.05,20.97,21.87,31869400,687148679
20250507,22.25,24.06,21.77,24.06,58149900,1343257517
20250508,24.06,24.96,23.8,24.13,83918200,2043918755
20250509,24.09,24.16,22.89,23.13,46645600,1087247072
20250512,23.1,24.75,22.82,24.35,59319600,1426703066
20250513,24.4,24.46,23.44,23.55,42879700,1020427967
20250514,23.33,23.62,23.01,23.17,25064200,581400868
20250515,23.1,23.1,22.15,22.18,23242500,521633163
20250516,22.45,22.79,22.19,22.25,18984400,425911970
20250519,22.59,23,22.4,22.7,26374000,597389926
20250520,22.75,23.48,22.35,22.89,32805800,748431490
20250521,22.7,23.89,22.44,23.59,46417200,1087613609
20250522,23.36,24.43,22.59,23.29,48106700,1135017500
20250523,22.8,23.21,21.9,21.98,33651700,753481600
