日期,开盘价,最高价,最低价,收盘价,成交量,成交额
20240726,40,48.88,40,45.55,24092200,1024461079
20240729,41.03,41.88,36.21,36.45,17397100,673913405
20240730,35.02,47.5,34.02,42,22478400,889930513
20240731,40.84,41.49,37.33,38,18263500,705241725
20240801,37,38.16,35.29,35.4,14425400,525794988
20240802,34.58,34.88,32.85,32.86,11658800,392876218
20240805,31.96,32.54,30.66,30.71,8901600,280545882
20240806,31.14,31.38,30.5,31.04,6164100,190585507
20240807,30.69,31.94,30.69,31.12,6780400,211930217
20240808,30.83,30.9,29.58,29.62,6631600,198504125
20240809,30,30.14,29.63,29.85,4129600,123406094
20240812,30.05,30.68,29.79,30.17,5090800,153814906
20240813,29.85,30.04,28.9,30.04,4980400,147207390
20240814,29.79,30.25,29.7,29.72,3822600,114394417
20240815,29.4,30.43,29.31,29.89,4514600,135447277
20240816,29.9,30.25,28.96,28.98,5421500,160801211
20240819,28.35,28.65,27.9,27.91,4693000,132638627
20240820,28,29.45,27.77,28.71,6554600,186816956
20240821,28.35,29.98,28.2,29.85,8521800,251440908
20240822,29.54,29.55,27.81,27.85,6883200,195665560
20240823,27.54,28.79,27.4,28.5,4893200,138782236
20240826,28.05,29.1,28,28.76,4233500,120734565
20240827,28.5,28.51,27.5,27.51,3956100,110318139
20240828,27.39,28.28,27.22,28.12,3448400,96626757
20240829,28.18,29.97,28.18,29.13,7927100,231492858
20240830,28.74,30.16,28.74,29.64,8638800,256257461
20240902,29.29,29.46,28.03,28.05,5676500,162961757
20240903,27.9,29.11,27.8,29.1,4654200,133620846
20240904,28.55,28.76,28.2,28.46,3202600,91138794
20240905,28.53,28.6,28.04,28.34,2642400,74804608
20240906,28.24,28.56,27.28,27.31,4113200,114443569
20240909,27.21,27.56,26.9,27.42,2327600,63515226
20240910,27.45,27.47,26.91,27.43,2106000,57304774
20240911,27.35,27.35,26.94,27.08,1985000,53706964
20240912,27.08,29.51,26.46,28.2,7222700,201762725
20240913,27.88,28.11,26.31,26.4,5653300,153091589
20240918,26.41,26.45,25.34,25.67,3021600,77870992
20240919,25.73,26.15,25.5,25.92,2692000,69662413
20240920,25.92,26.47,25.66,25.92,2808200,73109820
20240923,25.85,27.33,25.85,26.8,5044300,135383088
20240924,26.89,27.25,25.92,27.13,5036600,134550527
20240925,27.17,27.94,27.03,27.09,5189500,142453793
20240926,26.94,27.69,26.81,27.69,4556400,124219430
20240927,27.7,29.79,27.6,29.57,8598200,247379071
20240930,30.98,35.48,30.34,35.45,13120000,427626068
20241008,42.52,42.54,37.5,42.54,14393900,585173885
20241009,39.4,40.38,36.01,36.22,11104000,430931205
20241010,37.5,38.02,35.44,35.65,7003500,256815139
20241011,34.99,36.43,32.4,32.96,5939000,200075249
20241014,33,34.5,32,34.34,4928200,165078376
20241015,33.91,35.23,33.88,34.08,5245900,181318542
20241016,33.37,33.96,32.61,33,3806600,126420594
20241017,33.2,34.19,33.1,33.19,3772000,126933008
20241018,33.15,35.99,33.01,34.91,6615100,227735386
20241021,34.75,36.63,34.49,36.02,7630500,273037707
20241022,35.99,36.93,34.85,35.38,5415100,193770781
20241023,34.93,35.44,34.13,34.34,4070700,141772762
20241024,34.1,35.82,33.8,34.93,3645400,126346363
20241025,35,35.33,34.12,34.57,3987500,138390549
20241028,34.66,34.84,33.72,34.79,3415600,117275823
20241029,35,36.32,34.78,34.85,6872100,244458456
20241030,34.15,34.59,33.23,33.71,4941400,167101186
20241031,33.67,39.1,33.59,36.95,11690800,428050858
20241101,36.63,37.64,34.37,34.5,7854600,280614907
20241104,34.09,35.49,33.83,35.35,4069400,142175435
20241105,35.55,37.5,35.38,37.34,7118200,262942868
20241106,37.43,37.45,35.86,36.25,7051500,258362116
20241107,36.01,36.89,35.5,36.89,4592800,166812126
20241108,37.01,38.31,36.84,37.19,6205800,232752573
20241111,37.4,38.95,37.2,38.53,6398200,243304101
20241112,38.8,39,36.73,37.22,5499300,206975169
20241113,36.68,37.78,36.65,37.78,3548500,132408420
20241114,38.5,44.85,37.9,41.49,13080300,529731934
20241115,39.83,41.99,39.01,39.71,9253800,369509298
20241118,39.21,39.67,35.41,35.95,6781800,250767599
20241119,36.19,37.17,35.42,37.05,4261600,154595845
20241120,36.6,37.68,36.6,37.29,4375300,162592232
20241121,37.01,37.4,35.9,36.45,4080600,149391676
20241122,36.46,36.81,34.25,34.4,4534300,161331662
