日期,开盘价,最高价,最低价,收盘价,成交量,成交额
20210318,4.29,4.32,4.24,4.28,6684472,28592405
20210319,4.26,4.35,4.25,4.32,9494236,40902244
20210322,4.29,4.36,4.27,4.34,7304572,31592068
20210323,4.33,4.34,4.22,4.26,7703920,32952501
20210324,4.26,4.3,4.21,4.21,4751814,20172023
20210325,4.25,4.26,4.16,4.2,6527041,27466438
20210326,4.2,4.24,4.18,4.23,5948862,25017926
20210329,4.21,4.25,4.2,4.22,5794544,24451483
20210330,4.22,4.24,4.14,4.14,6443000,26821038
20210331,4.13,4.16,4.11,4.14,3871969,16017014
20210401,4.15,4.21,4.11,4.17,6511829,27119928
20210402,4.17,4.19,4.14,4.17,3724853,15495523
20210406,4.17,4.22,4.14,4.18,3886086,16216697
20210407,4.19,4.2,4.14,4.19,5378981,22437981
20210408,4.25,4.27,4.17,4.18,9438371,39743079
20210409,4.15,4.2,4.13,4.19,6180112,25742424
20210412,4.17,4.18,4.12,4.12,4750512,19706457
20210413,4.12,4.14,4.1,4.11,3772605,15531504
20210414,4.11,4.15,4.1,4.14,3162765,13044477
20210415,4.13,4.14,4.09,4.12,4612484,18976171
20210416,4.13,4.22,4.11,4.22,6913449,28851515
20210419,4.22,4.23,4.19,4.23,5925189,24969369
20210420,4.21,4.23,4.18,4.18,6007870,25254526
20210421,4.17,4.2,4.14,4.18,4175250,17360932
20210422,4.18,4.24,4.16,4.21,4557776,19175062
20210423,4.2,4.2,4.14,4.19,4236520,17660343
20210426,4.18,4.19,4.14,4.14,4503534,18735228
20210427,4.14,4.21,4.08,4.19,8289107,34332738
20210428,4.18,4.19,4.15,4.18,2745740,11446173
20210429,4.17,4.21,4.16,4.19,3972169,16626433
20210430,4.24,4.24,4.16,4.19,5557106,23299391
20210506,4.16,4.21,4.14,4.18,4977086,20784798
20210507,4.19,4.2,4.16,4.17,4247636,17751518
20210510,4.19,4.24,4.16,4.24,6846420,28831376
20210511,4.24,4.26,4.21,4.23,4865834,20595410
20210512,4.22,4.25,4.2,4.25,5502136,23264757
20210513,4.24,4.35,4.22,4.31,12128031,52296650
20210514,4.3,4.34,4.27,4.29,7527349,32249864
20210517,4.27,4.29,4.21,4.21,7384109,31243631
20210518,4.2,4.22,4.17,4.2,5505769,23076325
20210519,4.17,4.2,4.16,4.18,4298759,17969769
20210520,4.17,4.2,4.1,4.18,7223920,30094977
20210521,4.17,4.19,4.14,4.18,4542578,18940529
20210524,4.18,4.21,4.16,4.18,5327838,22307433
20210525,4.2,4.21,4.16,4.2,5783455,24209173
20210526,4.2,4.22,4.18,4.22,5087172,21353487
20210527,4.2,4.22,4.19,4.21,4199081,17659012
20210528,4.22,4.23,4.18,4.18,4817700,20209767
20210531,4.19,4.2,4.17,4.19,5145362,21543755
20210601,4.2,4.2,4.16,4.18,4371675,18255892
20210602,4.16,4.18,4.14,4.18,5820097,24229165
20210603,4.17,4.18,4.15,4.17,4363689,18173929
20210604,4.17,4.18,4.15,4.18,3750659,15611851
20210607,4.15,4.16,4.11,4.12,5437357,22466553
20210608,4.13,4.13,4.07,4.09,6569099,26876458
20210609,4.09,4.12,4.08,4.09,4456843,18247680
20210610,4.09,4.1,4.06,4.08,5007740,20411001
20210611,4.08,4.12,4.07,4.08,7392639,30272281
20210615,4.1,4.1,4.02,4.03,7104632,28761373
20210616,4.02,4.05,3.99,4.02,6176902,24773782
20210617,4.03,4.05,3.98,4.04,6936111,27819003
20210618,4.03,4.04,3.99,4.02,4661286,18716372
20210621,4,4.07,3.99,4.06,6868588,27623464
20210622,4.05,4.08,4.04,4.06,4310804,17477590
20210623,4.05,4.05,4.01,4.02,4983854,20051059
20210624,4.04,4.16,4.01,4.13,14066965,57724121
20210625,4.13,4.13,4.05,4.08,9852359,40223242
20210628,4.05,4.18,4.05,4.15,9107170,37748416
20210629,4.16,4.16,4.08,4.1,5603388,23040541
20210630,4.12,4.14,4.08,4.12,5316906,21807517
20210701,4.13,4.13,4.06,4.07,5363052,21931769
20210702,4.05,4.07,4.01,4.04,5128176,20686922
20210705,4.03,4.07,4.01,4.03,4754658,19157958
20210706,4.02,4.04,4,4.04,3689913,14847107
20210707,4.04,4.07,4,4.04,4867850,19655830
20210708,4.05,4.09,4.01,4.03,8501954,34430157
20210709,4.02,4.05,4,4.04,5229237,21042513
20210712,4.05,4.11,4.03,4.08,7962474,32534731
20210713,4.08,4.1,4.04,4.08,5881473,23925677
20210714,4.07,4.08,4,4.02,7906704,31895684
20210715,4,4.05,4,4.04,6025183,24226217
20210716,4.04,4.04,3.99,4.04,7998238,32131113
20210719,4.02,4.07,4,4.01,7867919,31649547
20210720,4.01,4.08,3.97,4.05,8006283,32212109
20210721,4.03,4.06,4.02,4.05,5599266,22653966
20210722,4.05,4.06,4,4.05,8201776,33071651
20210723,4.05,4.09,4.04,4.08,9543212,38792827
20210726,4.06,4.16,4.03,4.16,18623718,76290384
20210727,4.14,4.16,4.04,4.04,12554292,51374657
20210728,4.04,4.04,3.9,3.91,14137545,55850304
20210729,3.94,4.05,3.91,4.04,11831344,46812267
20210730,3.98,4.04,3.97,4.01,9146325,36595581
20210802,4,4.06,3.95,4.05,8644285,34853979
20210803,4.03,4.08,4.01,4.05,7278913,29484587
20210804,4.04,4.11,4.03,4.09,7594472,31031946
20210805,4.11,4.16,4.06,4.16,12703183,52324701
20210806,4.16,4.19,4.12,4.17,9708695,40314151
20210809,4.18,4.21,4.13,4.14,8193079,34070671
20210810,4.12,4.28,4.1,4.25,18498461,78045595
20210811,4.25,4.43,4.24,4.38,27630551,120716782
20210812,4.38,4.43,4.33,4.37,18493895,80928004
20210813,4.37,4.41,4.33,4.4,14445684,63215347
20210816,4.42,4.42,4.34,4.37,10796119,47264521
20210817,4.38,4.43,4.28,4.3,15113045,65845683
20210818,4.3,4.4,4.28,4.36,10488033,45588944
20210819,4.38,4.55,4.36,4.44,17998561,79767466
20210820,4.44,4.48,4.37,4.44,12115864,53555540
20210823,4.42,4.48,4.41,4.45,12535168,55797962
20210824,4.45,4.53,4.39,4.41,12465932,55434558
20210825,4.42,4.55,4.4,4.54,17372448,77978175
20210826,4.56,4.68,4.49,4.53,16493061,75406713
20210827,4.49,4.57,4.49,4.55,10237271,46330793
20210830,4.55,4.55,4.45,4.49,11654338,52311432
20210831,4.5,4.72,4.45,4.63,29602138,136594173
20210901,4.61,4.64,4.42,4.46,23624933,106502233
20210902,4.46,4.7,4.4,4.69,21037103,96670777
20210903,4.66,4.78,4.6,4.6,17329033,80989629
20210906,4.55,4.65,4.5,4.61,18436672,84066219
20210907,4.58,4.66,4.54,4.65,12827077,59367611
20210908,4.64,4.76,4.62,4.7,14359403,67383439
20210909,4.68,4.74,4.65,4.72,11282315,53010758
20210910,4.75,4.86,4.69,4.82,24983042,119624332
20210913,4.92,4.98,4.76,4.82,20799744,100375557
20210914,4.79,4.9,4.6,4.64,26552256,125266827
20210915,4.64,4.87,4.61,4.85,31923001,151528897
20210916,4.84,5.01,4.75,4.77,30913500,150644865
20210917,4.75,4.85,4.65,4.8,18194239,86625527
20210922,4.67,4.92,4.64,4.88,23291011,112502488
20210923,4.91,4.93,4.78,4.85,20770150,100859819
20210924,4.83,4.9,4.73,4.79,19547060,93854279
20210927,4.79,4.87,4.39,4.45,26104223,118885207
20210928,4.41,4.65,4.39,4.59,23574055,106609405
20210929,4.57,4.85,4.42,4.45,31043698,143902065
20210930,4.49,4.9,4.49,4.9,34165663,164996876
20211008,5,5.07,4.78,4.9,54697159,268215406
20211011,4.87,4.92,4.68,4.72,24053879,114387368
20211012,4.67,4.87,4.43,4.55,35846131,164479395
20211013,4.55,4.55,4.3,4.34,28741636,125419874
20211014,4.32,4.5,4.27,4.44,20813444,91905297
20211015,4.42,4.47,4.32,4.35,13700095,60010258
20211018,4.35,4.79,4.35,4.79,25492218,118298680
20211019,4.91,4.95,4.73,4.89,63757129,311008339
20211020,4.83,5.09,4.82,4.94,40830087,201899356
20211021,4.99,5.43,4.92,5.13,96706790,508778009
20211022,5.21,5.24,5,5,64199162,326730913
20211025,4.94,5.07,4.9,4.94,37192569,184422161
20211026,4.92,4.98,4.82,4.85,31033546,151837166
20211027,4.82,4.92,4.76,4.81,26747349,129059403
20211028,4.77,5,4.7,4.81,36442571,175976420
20211029,4.78,4.94,4.56,4.85,36568507,173585267
20211101,4.88,5.34,4.86,5.34,40781184,214809874
20211102,5.5,5.5,5.09,5.23,94727470,496756132
20211103,5.16,5.2,5.01,5.1,47823007,243369410
20211104,5.19,5.61,5.1,5.44,92595043,499514278
20211105,5.44,5.5,5.31,5.33,52459544,282694849
20211108,5.3,5.39,5.19,5.3,35122064,185551798
20211109,5.51,5.68,5.32,5.39,53990503,294872882
20211110,5.37,5.57,5.26,5.46,42334693,228821219
20211111,5.33,5.42,5.18,5.21,48129516,253835731
20211112,5.2,5.64,5.19,5.55,63185823,344909692
20211115,5.55,5.71,5.45,5.62,56260297,314367265
20211116,5.55,6.18,5.4,5.92,112576390,661887031
20211117,6.18,6.51,6.18,6.51,81752762,528518651
20211118,7.16,7.16,6.68,6.76,251068277,1750679433
20211119,6.52,6.85,6.4,6.47,132263790,866192212
20211122,6.3,6.6,6.04,6.38,94542513,594735467
20211123,6.4,6.56,6.25,6.35,59798908,382663615
20211124,6.3,6.67,6.29,6.41,55701643,359020148
20211125,6.44,7.05,6.44,7.05,125803771,878522890
20211126,6.85,7.68,6.7,7.44,129504249,930719659
20211129,7.21,7.5,7.18,7.19,76020431,555482980
20211130,7.22,7.25,6.77,6.8,68341019,473613484
20211201,6.9,6.94,6.64,6.82,49936329,339080695
20211202,6.82,6.82,6.3,6.55,74122709,482068089
20211203,6.6,6.84,6.5,6.58,48849910,323983347
20211206,6.51,6.66,6.4,6.42,40288482,262418380
20211207,6.41,6.5,6.06,6.15,53257206,329073901
20211208,6.4,6.43,6.15,6.23,43409166,271739552
20211209,6.26,6.3,5.98,6.03,55442496,337006903
20211210,6.03,6.07,5.81,5.88,47633154,282358604
20211213,5.9,6.07,5.86,5.95,54925302,328262403
20211214,6.06,6.48,6.05,6.25,82830317,514608162
20211215,6.15,6.6,6.12,6.39,72240783,460954739
20211216,6.39,6.46,6.25,6.3,37441722,236759968
20211217,6.29,6.4,6.23,6.3,27876536,176441209
20211220,6.22,6.27,5.86,5.88,56566470,340701426
20211221,5.92,6,5.87,5.92,27287430,161538923
20211222,5.92,5.99,5.85,5.92,30666054,181593560
20211223,5.92,6.12,5.81,6.05,32423191,194397716
20211224,6.05,6.08,5.77,5.78,36454767,214650039
20211227,5.72,5.87,5.64,5.75,27992947,161443789
20211228,5.8,5.83,5.72,5.81,18170394,104783357
20211229,5.8,6.01,5.73,5.85,31065913,183181400
20211230,5.84,5.96,5.8,5.87,22213319,130566199
20211231,5.86,6.06,5.86,5.93,32123443,191583037
20220104,5.94,6.02,5.91,5.99,27870043,166456046
20220105,5.97,5.97,5.55,5.62,51734153,295869261
20220106,5.53,5.81,5.53,5.75,30309031,172937215
20220107,5.75,5.8,5.55,5.56,27250312,153212821
20220110,5.58,5.64,5.53,5.63,13461733,75374531
20220111,5.61,5.67,5.56,5.6,16352925,91810923
20220112,5.63,5.79,5.63,5.7,25849457,148335038
20220113,5.7,5.78,5.62,5.65,16135643,91665047
20220114,5.6,5.73,5.59,5.62,13203552,74692242
