日期,开盘价,最高价,最低价,收盘价,成交量,成交额
20240719,9.05,9.14,8.88,9.09,7527500,67897805
20240722,9.06,9.11,8.92,9,6053300,54421685
20240723,9,9.05,8.58,8.62,9594100,84517210
20240724,8.63,8.73,8.54,8.57,7461900,64356719
20240725,8.54,8.76,8.49,8.62,6300000,54402410
20240726,8.64,8.89,8.6,8.79,6586100,57856809
20240729,8.77,8.78,8.59,8.7,5849100,50793243
20240730,8.65,8.77,8.56,8.7,5066000,43905890
20240731,8.74,9.04,8.59,9.03,9764600,86896128
20240801,9.04,9.17,8.95,9.01,9044800,81879535
20240802,8.95,9.1,8.89,8.91,7880700,70905252
20240805,8.84,9.07,8.65,8.65,9580000,84710015
20240806,8.75,8.89,8.71,8.84,6846000,60255324
20240807,8.84,8.88,8.67,8.79,5961500,52375238
20240808,8.78,8.84,8.63,8.75,5122700,44745311
20240809,8.8,8.88,8.63,8.64,5200600,45471692
20240812,8.59,8.69,8.54,8.57,4419100,38026497
20240813,8.58,8.69,8.5,8.66,4586700,39434558
20240814,8.66,8.68,8.45,8.47,5594000,47707009
20240815,8.45,8.62,8.35,8.51,6634100,56373942
20240816,8.51,8.55,8.38,8.38,5121500,43209009
20240819,8.37,8.55,8.35,8.43,5039200,42658945
20240820,8.4,8.51,8.2,8.23,5989800,49871295
20240821,8.22,8.41,8.15,8.36,5278500,43975214
20240822,8.36,8.4,8.16,8.19,4627000,38191436
20240823,8.08,8.24,8.04,8.17,5401100,43874964
20240826,8.12,8.52,8.12,8.45,9217200,77412384
20240827,8.4,8.4,8.14,8.18,6873100,56522130
20240828,8.18,8.35,8.12,8.29,5095500,42133154
20240829,8.28,8.71,8.28,8.65,11783400,100940975
20240830,8.62,8.91,8.57,8.75,11815500,103600968
20240902,8.7,8.91,8.66,8.68,8762300,76911653
20240903,8.67,8.86,8.62,8.82,6937000,60823462
20240904,8.78,9.02,8.71,8.87,11870400,105589877
20240905,8.9,9.02,8.78,8.86,9604100,85177157
20240906,8.81,8.85,8.61,8.62,7232700,62856206
20240909,8.55,8.69,8.51,8.58,5235200,45022813
20240910,8.6,8.64,8.3,8.57,5721500,48598215
20240911,8.57,8.74,8.51,8.66,7363800,63685068
20240912,8.61,8.79,8.58,8.6,5502900,47815008
20240913,8.6,8.64,8.36,8.36,4827500,40881594
20240918,8.35,8.43,8.23,8.35,4939500,41096363
20240919,8.44,8.72,8.35,8.65,6762600,58042155
20240920,8.65,8.66,8.44,8.5,4808700,40978274
20240923,8.46,8.57,8.42,8.46,4531300,38479873
20240924,8.47,8.93,8.47,8.93,11977200,104746482
20240925,8.98,9.18,8.89,8.91,12895800,116816033
20240926,8.88,9.17,8.86,9.17,10146700,91576434
20240927,9.28,9.84,9.27,9.65,21743300,208061406
20240930,10.12,10.62,9.92,10.62,34308900,354207218
20241008,11.68,11.68,10.54,11.26,40535800,453673447
20241009,10.98,10.98,10.13,10.13,28296700,296573079
20241010,10.14,10.45,9.91,10,17182100,174746131
20241011,10.01,10.01,9.37,9.52,15587100,150809596
20241014,9.59,9.82,9.4,9.76,12457100,120170767
20241015,9.71,9.97,9.54,9.61,13503100,131267708
20241016,9.53,9.77,9.45,9.64,10566500,101795059
20241017,9.68,9.84,9.55,9.55,11085700,107402306
