日期,开盘价,最高价,最低价,收盘价,成交量,成交额
20240719,28.8,30.4,28.39,29.69,6158500,182816597
20240722,29.1,30.16,29.09,29.82,3545400,105256493
20240723,29.79,30.09,29.31,29.44,3343500,99462964
20240724,29.02,31,28.48,30.26,5901900,175111921
20240725,29.5,30.08,29.1,29.61,3723700,110090234
20240726,29.67,30.86,29.47,30.5,5477100,165774133
20240729,30.22,30.7,29.8,30.54,4158200,126223044
20240730,30.3,31.75,29.89,31.18,5715100,177272705
20240731,30.56,31.97,30.08,31.65,5875400,182304422
20240801,31.15,32.9,31.11,32.6,6583500,212829513
20240802,32.3,32.65,30.83,30.93,5106500,161908997
20240805,30.35,31.94,29.98,30.29,3913000,120799949
20240806,30.4,31.2,29.73,30.81,3217100,98304671
20240807,30.75,31.65,30.45,31.46,3576300,111586287
20240808,31.01,31.14,28.73,28.76,4367300,129038378
20240809,28.66,29.1,28.23,28.29,2029300,58147370
20240812,28.3,28.82,27.32,28.82,2222500,62747889
20240813,28.65,29.6,28.3,29.43,2653100,77279497
20240814,29.16,29.47,28.96,29.05,1789200,52186374
20240815,28.91,29.02,28.26,28.51,2202600,62895932
20240816,28.4,28.6,27.53,27.62,2043800,57253083
20240819,27.44,28.28,27.13,27.99,2037700,56644086
20240820,27.72,28.14,26.94,27.08,1608200,43989664
20240821,27.3,27.5,26.8,26.84,1253000,34043429
20240822,26.85,27.35,26.29,26.37,1412500,37889015
20240823,26.2,26.46,25.53,25.79,1455500,37678865
20240826,25.89,26.18,25.75,25.97,840600,21842700
20240827,26,26,25.22,25.35,1198300,30501926
20240828,24.51,24.88,23.51,23.6,2466500,59024101
20240829,23.6,24.45,23.22,24.19,1787700,42921418
20240830,24.4,25.1,24.04,24.75,1676500,41304004
20240902,24.85,25.1,24.17,24.23,1244200,30562731
20240903,24.23,24.75,24.17,24.59,1167700,28624255
20240904,24.6,24.68,24.25,24.42,819100,20020290
20240905,24.78,24.78,24.2,24.57,938000,23060496
20240906,24.6,24.72,23.85,23.9,1067500,25792079
20240909,23.6,24.2,23.17,24.06,716800,17160935
20240910,24.46,24.46,23.73,24.16,840600,20229172
20240911,24,24.21,23.72,23.9,628600,15031896
20240912,23.98,24.18,23.57,23.58,735400,17579613
20240913,23.72,23.74,22.98,23,999500,23309736
20240918,22.98,23.13,22.41,23.04,1059300,24180336
20240919,23.19,23.55,22.91,23.3,955500,22248355
20240920,23.35,23.65,22.9,23.11,849500,19747502
20240923,23.06,25.43,22.92,24.44,3087500,74920675
20240924,24.45,24.83,23.69,24.81,3550800,86187075
20240925,24.79,26.61,24.69,25.6,4206600,106704579
20240926,25.2,25.7,25.03,25.69,3282700,83330169
20240927,25.77,27.23,25.77,26.95,4143000,109688819
20240930,28.5,32,27.23,30.68,6499800,190267714
20241008,36.66,36.82,32.01,36.82,9945200,349999314
20241009,34,35.9,31.21,31.31,7065400,240235379
20241010,31.55,33.33,31.24,31.88,4859600,156343446
20241011,31.32,32,28.87,29.66,3857600,116064870
20241014,32.6,35.59,32.22,35.59,6105100,211829475
20241015,35.59,42.71,34.2,42.71,17574100,690044806
20241016,39.67,49,39.67,45.55,16526300,739224445
20241017,44.57,47,41.42,43.5,13100500,569276438
20241018,42,44,39.8,42.58,11990600,505605073
20241021,41.4,46,41.01,45.31,12698400,560236112
20241022,44.32,44.35,41,42.31,8112200,344017919
20241023,41.23,45.02,41.01,41.85,8541100,367755980
20241024,39.87,40.15,37.88,38.38,7179000,278511105
20241025,38.33,38.79,37.71,38.33,4912900,187232739
20241028,38.28,40.3,38.17,39.55,5892700,231600428
20241029,39.08,40.23,37.86,37.94,4703200,182657057
20241030,37.9,39.38,37.06,39.07,5308700,205884021
20241031,38.91,40.75,38.5,40.42,5932000,236003195
20241101,40.11,40.19,35.12,35.81,5326100,199540786
20241104,35.45,36.78,35.21,36.25,3129000,112793963
20241105,36.04,38.79,36.04,38.43,4931000,187950504
20241106,38.43,39.96,37.9,38.29,4885100,189305712
20241107,37.59,38.17,36.9,37.72,3652700,136704319
20241108,38.1,42.99,38,40.81,7760900,311787418
20241111,41.8,41.8,39.62,41,6356300,258293439
20241112,41,41.03,38.86,39.41,4449900,177533804
20241113,39.03,39.6,37.8,39.44,2670700,103337495
20241114,38.86,39.59,37.65,37.74,2143900,82533523
20241115,37.68,38.2,36.2,36.26,2372900,88433322
20241118,36.27,36.83,34.5,34.82,1980600,69693421
20241119,34.81,36.02,34.71,36.02,1593900,56313079
20241120,36.3,38.66,35.87,38.12,3164600,119106029
20241121,37.79,38.9,37.5,38,2495100,95195674
20241122,37.56,42,37.07,39.23,7973700,319167655
20241125,37.19,38,35.64,37.02,5595600,204513892
20241126,36.42,37.56,34.9,35.28,3473100,124799432
20241127,34.84,36.88,33.7,36.88,3347600,119324596
20241128,36.79,38.3,36.23,36.95,3134100,116472112
20241129,36.39,38.66,36.02,37.85,3648200,137046355
20241202,37.86,38.56,37.56,38.56,3363800,128487797
20241203,38.2,39.2,37.77,38.44,2844600,109290692
20241204,38.5,38.83,37.69,37.87,2963300,113332397
20241205,37.69,39.76,37.38,39.3,4939000,191828252
20241206,39.4,40.79,39.02,39.65,5510200,219580496
20241209,38.81,39.29,37.8,38.34,3432900,131783723
20241210,39.42,40.27,38.67,39.45,4213200,166345299
20241211,39.6,40.2,38.73,39.54,3223800,126983226
20241212,39.18,40.28,38.8,39.37,3121600,123451526
20241213,38.91,39.18,38.01,38.05,2518200,96848852
20241216,38.13,38.17,36.65,36.98,1775000,66407760
20241217,37.01,37.17,34.94,35.16,2143400,76518292
20241218,35.17,35.6,34.09,35.09,1699400,59478983
20241219,34.88,35.4,34.5,35.19,1319300,46192342
20241220,35.41,35.95,34.89,35.6,1360000,48361433
20241223,35.98,35.98,33.75,33.75,1644400,56737730
20241224,33.77,34.44,32.86,33.93,1477200,49792348
20241225,34.58,34.58,32.99,33.02,1377800,46154693
20241226,33.06,34.3,33.05,33.93,1392300,47308318
20241227,34.98,35.34,33.95,34.19,1530000,52962645
20241230,33.86,34.44,33.1,33.83,1240300,42151134
20241231,33.85,34.24,33.19,33.24,1254800,42171357
20250102,33.41,33.55,31.52,31.85,1561900,50725017
